Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
abba,ABBA,abba,,0,
afro-dite,Afro-dite,afro-dite,,1,
alice-babs,Alice Babs,alice-babs,,2,
anna-bergendahl,Anna Bergendahl,anna-bergendahl,,3,
arvingarna,Arvingarna,arvingarna,,4,
benjamin-ingrosso,Benjamin Ingrosso,benjamin-ingrosso,,5,
bjorn-skifs,Björn Skifs,bjorn-skifs,,6,
blond,Blond,blond,,7,
brita-borg,Brita Borg,brita-borg,,8,
carola,Carola,carola,,9,
charlotte-nilsson,Charlotte Nilsson,charlotte-nilsson,,10,
charlotte-perrelli,Charlotte Perrelli,charlotte-perrelli,,11,
chips,Chips,chips,,12,
christer-bjorkman,Christer Björkman,christer-bjorkman,,13,
claes-goran-hederstrom,Claes-Göran Hederström,claes-goran-hederstrom,,14,
edin-adahl,Edin-Ådahl,edin-adahl,,15,
eric-saade,Eric Saade,eric-saade,,16,
fame,Fame,fame,,17,
family-four,Family Four,family-four,,18,
forbes,Forbes,forbes,,19,
frans,Frans,frans,,20,
friends,Friends,friends,,21,
herreys,Herreys,herreys,,22,
inger-berggren,Inger Berggren,inger-berggren,,23,
ingvar-wixell,Ingvar Wixell,ingvar-wixell,,24,
jan-johansen,Jan Johansen,jan-johansen,,25,
jill-johnson,Jill Johnson,jill-johnson,,26,
kikki-danielsson,Kikki Danielsson,kikki-danielsson,,27,
lars-berghagen-and-the-dolls,Lars Berghagen and the Dolls,lars-berghagen-and-the-dolls,,28,
lena-philipsson,Lena Philipsson,lena-philipsson,,29,
lill-lindfors-and-svante-thuresson,Lill Lindfors and Svante Thuresson,lill-lindfors-and-svante-thuresson,,30,
lill-babs,Lill-Babs,lill-babs,,31,
loreen,Loreen,loreen,,32,
lotta-engberg,Lotta Engberg,lotta-engberg,,33,
malena-ernman,Malena Ernman,malena-ernman,,34,
marie-bergman-and-roger-pontare,Marie Bergman and Roger Pontare,marie-bergman-and-roger-pontare,,35,
martin-stenmarck,Martin Stenmarck,martin-stenmarck,,36,
monica-tornell-and-lasse-holm,Monica Törnell and Lasse Holm,monica-tornell-and-lasse-holm,,37,
monica-zetterlund,Monica Zetterlund,monica-zetterlund,,38,
mans-zelmerlow,Måns Zelmerlöw,mans-zelmerlow,,39,
one-more-time,One More Time,one-more-time,,40,
robin-bengtsson,Robin Bengtsson,robin-bengtsson,,41,
robin-stjernberg,Robin Stjernberg,robin-stjernberg,,42,
roger-pontare,Roger Pontare,roger-pontare,,43,
sanna-nielsen,Sanna Nielsen,sanna-nielsen,,44,
siw-malmkvist,Siw Malmkvist,siw-malmkvist,,45,
ted-gardestad,Ted Gärdestad,ted-gardestad,,46,
the-ark,The Ark,the-ark,,47,
the-nova-and-the-dolls,The Nova and the Dolls,the-nova-and-the-dolls,,48,
tomas-ledin,Tomas Ledin,tomas-ledin,,49,
tommy-korberg,Tommy Körberg,tommy-korberg,,50,
tommy-nilsson,Tommy Nilsson,tommy-nilsson,,51,
osten-warnerbring,Östen Warnerbring,osten-warnerbring,,52,
